bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,IndusInd Bank Limited,25-Jun-2026,10,-,INE095A01012,-,-,26-Jun-2026,EQ,Dividend - Rs 1.50 Per Share,INDUSINDBK
-,-,,IndusInd Bank Limited,28-Jun-2024,10,-,INE095A01012,-,-,28-Jun-2024,EQ,Dividend - Rs 16.50 Per Share,INDUSINDBK
-,-,,IndusInd Bank Limited,02-Jun-2023,10,-,INE095A01012,-,-,02-Jun-2023,EQ,Dividend - Rs 14 Per Share,INDUSINDBK
-,-,,IndusInd Bank Limited,11-Aug-2022,10,-,INE095A01012,-,-,12-Aug-2022,EQ,Annual General Meeting/Dividend - Rs 8.50 Per Share,INDUSINDBK
-,-,,IndusInd Bank Limited,17-Aug-2021,10,-,INE095A01012,-,-,19-Aug-2021,EQ, Dividend - Rs 5 Per Share,INDUSINDBK
16-Aug-2019,10-Aug-2019,,IndusInd Bank Limited,08-Aug-2019,10,-,INE095A01012,-,-,-,EQ, Annual General Meeting/Dividend - Rs 7.50 Per Share,INDUSINDBK
26-Jul-2018,20-Jul-2018,,IndusInd Bank Limited,18-Jul-2018,10,-,INE095A01012,-,-,-,EQ, Annual General Meeting / Dividend- Rs 7.50 Per Share (Date Revised),INDUSINDBK
26-Jul-2017,20-Jul-2017,,IndusInd Bank Limited,18-Jul-2017,10,-,INE095A01012,-,-,-,EQ, Annual General Meeting/Dividend - Rs 6/- Per Share,INDUSINDBK
01-Jul-2016,25-Jun-2016,,IndusInd Bank Limited,23-Jun-2016,10,-,INE095A01012,-,-,-,EQ, Annual General Meeting/ Dividend -Rs 4.50/- Per Share,INDUSINDBK
17-Aug-2015,11-Aug-2015,,IndusInd Bank Limited,07-Aug-2015,10,-,INE095A01012,-,-,-,EQ,Annual General Meeting And Dividend Rs.4/- Per Share,INDUSINDBK
27-Jun-2014,18-Jun-2014,,IndusInd Bank Limited,16-Jun-2014,10,-,INE095A01012,-,-,-,EQ,Annual General Meeting / Dividend - Rs 3.50/- Per Share,INDUSINDBK
28-Jun-2013,19-Jun-2013,,IndusInd Bank Limited,17-Jun-2013,10,-,INE095A01012,-,-,-,EQ,Annual General Meeting / Dividend Rs.3/- Per Equity Share,INDUSINDBK
17-Jul-2012,07-Jul-2012,,IndusInd Bank Limited,05-Jul-2012,10,-,INE095A01012,-,-,-,EQ,Annual General Meeting/Dividend Rs 2.20 Per Share,INDUSINDBK
15-Jul-2011,05-Jul-2011,,IndusInd Bank Limited,30-Jun-2011,10,-,INE095A01012,-,-,-,EQ,Annual General Meeting And Dividend Rs.2/- Per Share,INDUSINDBK
28-Jun-2010,19-Jun-2010,,IndusInd Bank Limited,17-Jun-2010,10,-,INE095A01012,-,-,-,EQ,Annual General Meeting And Dividend Rs.1.80 Per Share,INDUSINDBK
03-Jul-2009,24-Jun-2009,,IndusInd Bank Limited,22-Jun-2009,10,-,INE095A01012,-,-,-,EQ,Agm/Div-Rs.1.20 Per Share,INDUSINDBK
22-Sep-2008,08-Sep-2008,,IndusInd Bank Limited,04-Sep-2008,10,-,INE095A01012,-,-,-,EQ,Agm/Dividend - 6%        Bc Dates Revised,INDUSINDBK
18-Sep-2007,04-Sep-2007,,IndusInd Bank Limited,31-Aug-2007,10,-,INE095A01012,-,-,-,EQ,Agm/Dividend-6%          Purpose Revised,INDUSINDBK
28-Sep-2006,18-Sep-2006,,IndusInd Bank Limited,14-Sep-2006,10,-,INE095A01012,-,-,-,EQ,Agm,INDUSINDBK
03-Sep-2005,20-Aug-2005,,IndusInd Bank Limited,18-Aug-2005,10,-,INE095A01012,-,-,-,EQ,Agm/Dividend-18%,INDUSINDBK
