bm_symbol,bm_date,bm_purpose,bm_desc,sm_indusrty,bm_timestamp,sm_name,sm_isin,diff,sysTime,attFileSize,attachment,ixbrl,ixbrlFileSize,symbol,company_name,intimationType,meetingType,oriiginalMeetingDate,proposedMeetingDate,bm_source
SBILIFE,24-Jul-2026,Board Meeting Intimation,SBI Life Insurance Company Limited has informed the Exchange about Board Meeting to be held on 24-Jul-2026 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended June 2026 .,-,10-Jul-2026 22:48:40,SBI Life Insurance Company Limited,INE123W01016,00:00:03,10-Jul-2026 22:48:43,14.49 KB,https://nsearchives.nseindia.com/corporate/xbrl/PIBM_540719_1072026224654_PRIOR_INTIMATION_WebXMLFile_20260710_224838500.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_15482_20260710_224838522_WEB.html,3.23 KB,SBILIFE,SBI Life Insurance Company Ltd.,,,,,
SBILIFE,22-Apr-2026,Board Meeting Intimation,SBI Life Insurance Company Limited has informed the Exchange about Board Meeting to be held on 22-Apr-2026 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2026 .,-,10-Apr-2026 17:48:06,SBI Life Insurance Company Limited,INE123W01016,00:00:03,10-Apr-2026 17:48:09,14.48 KB,https://nsearchives.nseindia.com/corporate/xbrl/PIBM_540719_104202617481_PRIOR_INTIMATION_WebXMLFile_20260410_174804392.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_20260410_174804_WEB.html,3.22 KB,SBILIFE,SBI Life Insurance Company Ltd.,,,,,
SBILIFE,25-Feb-2026,Board Meeting Intimation,SBI Life Insurance Company Limited has informed the Exchange about Board Meeting to be held on 25-Feb-2026 to consider Dividend.,-,21-Feb-2026 19:44:35,SBI Life Insurance Company Limited,INE123W01016,00:00:03,21-Feb-2026 19:44:38,6.51 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_79565_1628770_21022026074433_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_79565_21022026194433_iXBRL_WEB.html,2.47 KB,SBILIFE,SBI Life Insurance Company Ltd.,,,,,
SBILIFE,28-Jan-2026,Board Meeting Intimation,SBI Life Insurance Company Limited has informed the Exchange about Board Meeting to be held on 28-Jan-2026 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended December 2025 .,-,20-Jan-2026 17:54:52,SBI Life Insurance Company Limited,INE123W01016,00:00:02,20-Jan-2026 17:54:54,6.51 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_75909_1605984_20012026055450_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_75909_20012026175450_iXBRL_WEB.html,2.92 KB,SBILIFE,SBI Life Insurance Company Ltd.,,,,,
SBILIFE,24-Oct-2025,Board Meeting Intimation,SBI Life Insurance Company Limited has informed the Exchange about Board Meeting to be held on 24-Oct-2025 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended September 2025 .,-,13-Oct-2025 12:53:11,SBI Life Insurance Company Limited,INE123W01016,00:00:03,13-Oct-2025 12:53:14,6.51 KB,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_68343_1545773_13102025125309_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_68343_13102025125309_iXBRL_WEB.html,2.92 KB,SBILIFE,SBI Life Insurance Company Ltd.,,,,,
SBILIFE,24-Jul-2025,Financial Results,"To consider and approve the financial results for the period ended Jun 30, 2025",-,16-Jul-2025 16:34:48,SBI Life Insurance Company Limited,INE123W01016,00:00:01,16-Jul-2025 16:34:49,2.41 MB,https://nsearchives.nseindia.com/corporate/SBILIFE_16072025163406_SE16072025_signed.pdf,,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,
SBILIFE,24-Apr-2025,Board Meeting Intimation,SBI Life Insurance Company Limited has informed the Exchange about Board Meeting to be held on 24-Apr-2025 to inter-alia consider and approve the Audited Financial results of the Company for the Yearly ended March 2025 .,-,09-Apr-2025 11:49:40,SBI Life Insurance Company Limited,INE123W01016,00:00:03,09-Apr-2025 11:49:43,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_50310_1410587_09042025114937_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_50310_09042025114937_iXBRL_WEB.html,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,
SBILIFE,28-Feb-2025,Board Meeting Intimation,SBI Life Insurance Company Limited has informed the Exchange about Board Meeting to be held on 28-Feb-2025 to consider Dividend.,-,24-Feb-2025 11:37:31,SBI Life Insurance Company Limited,INE123W01016,00:00:03,24-Feb-2025 11:37:34,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_47928_1389080_24022025113628_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_47928_24022025113627_iXBRL_WEB.html,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,
SBILIFE,17-Jan-2025,Board Meeting Intimation,SBI LIFE INSURANCE COMPANY LIMITED has informed the Exchange about Board Meeting to be held on 17-Jan-2025 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended December 2024 .,-,06-Jan-2025 20:58:14,SBI Life Insurance Company Limited,INE123W01016,00:00:02,06-Jan-2025 20:58:16,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_43217_1338303_06012025085810_WEB.xml,https://nsearchives.nseindia.com/corporate/ixbrl/PRIOR_INTIMATION_43217_06012025205810_iXBRL_WEB.html,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,
SBILIFE,30-Dec-2024,Outcome of Board Meeting,"SBI Life Insurance Company Limited has informed the Exchange regarding Outcome of Board Meeting held on December 30, 2024.",,,SBI Life Insurance Company Limited,INE123W01016,,,,,,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,announcements
SBILIFE,23-Oct-2024,SBI LIFE INSURANCE COMPANY LIMITED has informed the Exchange about Board Meeting to be held on 23-Oct-2024 to inter-alia consider and approve the Audited Financial results of the Company for the Quarterly ended September 2024 .,Board Meeting Intimation,-,15-Oct-2024 20:49:02,SBI Life Insurance Company Limited,INE123W01016,00:00:02,15-Oct-2024 20:49:04,,https://nsearchives.nseindia.com/corporate/xbrl/PRIOR_INTIMATION_37563_1271329_15102024084858_WEB.xml,,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,
SBILIFE,24-Jul-2024,Outcome of Board Meeting,"SBI Life Insurance Company Limited has informed the Exchange regarding  Board meeting held on July 24, 2024.",,,SBI Life Insurance Company Limited,INE123W01016,,,,,,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,announcements
SBILIFE,26-Apr-2024,Outcome of Board Meeting,"SBI Life Insurance Company Limited has informed the Exchange regarding  Board meeting held on April 26, 2024.",,,SBI Life Insurance Company Limited,INE123W01016,,,,,,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,announcements
SBILIFE,08-Apr-2024,Outcome of Board Meeting,"SBI Life Insurance Company Limited has informed the Exchange regarding Outcome of Board Meeting held on April 08, 2024.",,,SBI Life Insurance Company Limited,INE123W01016,,,,,,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,announcements
SBILIFE,28-Feb-2024,Outcome of Board Meeting,"SBI Life Insurance Company Limited has informed the Exchange regarding Outcome of Board Meeting held on February 28, 2024.",,,SBI Life Insurance Company Limited,INE123W01016,,,,,,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,announcements
SBILIFE,13-Feb-2024,Outcome of Board Meeting,"SBI Life Insurance Company Limited has informed the Exchange regarding  Board meeting held on February 13, 2024.",,,SBI Life Insurance Company Limited,INE123W01016,,,,,,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,announcements
SBILIFE,27-Oct-2023,Outcome of Board Meeting,"SBI Life Insurance Company Limited has informed the Exchange regarding Outcome of Board Meeting held on October 27, 2023.",,,SBI Life Insurance Company Limited,INE123W01016,,,,,,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,announcements
SBILIFE,25-Jul-2023,Outcome of Board Meeting,"SBI Life Insurance Company Limited has informed the Exchange regarding Outcome of Board Meeting held on July 25, 2023.",,,SBI Life Insurance Company Limited,INE123W01016,,,,,,,SBILIFE,SBI Life Insurance Company Ltd.,,,,,announcements
