Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016
Debtor Days,44,22,25,10,8,9,14,10,36,31,505
Inventory Days,96,78,61,59,59,68,53,50,37,279,774
Days Payable,187,126,109,101,126,115,75,50,119,674,2785
Cash Conversion Cycle,-47,-26,-23,-33,-59,-37,-8,11,-46,-364,-1506
Working Capital Days,-26,-18,-3,-20,-62,-43,-126,-82,-178,-1795,-51862
ROCE %,,-16%,-13%,-32%,-39%,-43%,-69%,-113%,,,
