Metric,Mar 2025,Mar 2026
Debtor Days,10.94,59.45
Inventory Days,592.84,1231.50
Days Payable,1.49,6.36
Cash Conversion Cycle,602.29,1284.59
Working Capital Days,473.83,864.81
ROCE %,,8.11%
