Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,67,68,137,117,95,85,83,74
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,67,68,137,117,95,85,83,74
Working Capital Days,7,16,11,47,30,40,38,136
ROCE %,,84%,-1%,25%,77%,46%,34%,6%
