Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,176.04,133.71,212.16,193.67
Inventory Days,195.18,94.53,77.18,46.40
Days Payable,249.58,176.17,281.94,28.68
Cash Conversion Cycle,121.63,52.07,7.40,211.40
Working Capital Days,105.91,70.83,99.64,199.07
ROCE %,,23.74%,25.96%,11.66%
