Metric,Jun 2006,Jun 2007,Jun 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Debtor Days,31,40,64,45,32,35,32
Inventory Days,103,97,96,105,66,81,74
Days Payable,17,14,30,32,26,39,29
Cash Conversion Cycle,117,124,130,118,72,77,78
Working Capital Days,134,144,150,140,76,-25,-7
ROCE %,,4%,3%,3%,-1%,14%,17%
