Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,181,221,165,144,193,129,146
Inventory Days,63,95,63,57,88,67,81
Days Payable,114,146,105,82,122,74,85
Cash Conversion Cycle,130,170,123,119,160,122,142
Working Capital Days,112,144,92,95,139,124,111
ROCE %,,2%,14%,26%,16%,21%,20%
