Metric,Dec 2014,Dec 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,85,60,55,61,57,41,17,31,16,24,24,30
Inventory Days,,,,,,,,,,,,0
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,85,60,55,61,57,41,17,31,16,24,24,30
Working Capital Days,23,22,-17,-30,-44,-21,-65,-32,-56,-55,-86,-64
ROCE %,7%,12%,6%,11%,14%,13%,13%,10%,9%,12%,15%,18%
