Metric,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,71,63,61,79,101,73,47,63,57,73
Inventory Days,102,91,66,57,72,37,22,32,69,79
Days Payable,447,348,293,327,477,312,156,235,349,370
Cash Conversion Cycle,-274,-194,-166,-190,-303,-202,-87,-139,-224,-217
Working Capital Days,-70,-69,-73,-25,12,-3,-9,-11,-29,-40
ROCE %,,5%,5%,10%,10%,17%,21%,17%,17%,18%
