Metric,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Debtor Days,55,53,57,62
Inventory Days,107,107,104,109
Days Payable,95,86,80,104
Cash Conversion Cycle,66,74,82,68
Working Capital Days,54,56,63,57
ROCE %,,27%,25%,27%
