Metric,Mar 2024,Mar 2025,Mar 2026
Debtor Days,124.96,159.26,182.12
Inventory Days,,,102.74
Days Payable,,,161.21
Cash Conversion Cycle,124.96,159.26,123.65
Working Capital Days,99.95,159.03,484.87
ROCE %,,14.55%,10.16%
