Metric,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,130,233,264,456,199,322,273,193,252,129,68,66
Inventory Days,,3996,,2834,,,2010,4072,,3441,,316
Days Payable,,1230,,719,,,881,2738,,1395,,65
Cash Conversion Cycle,130,2998,264,2571,199,322,1402,1526,252,2175,68,317
Working Capital Days,347,241,723,569,601,415,342,-195,456,324,294,346
ROCE %,-3%,1%,5%,6%,5%,1%,2%,2%,9%,11%,20%,17%
