Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,0,0,3,45,69,84,48
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,0,0,3,45,69,84,48
Working Capital Days,-50,-53,-21,44,71,89,311
ROCE %,,90%,56%,41%,28%,29%,33%
