Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,82,102,77
Inventory Days,,65,101,109
Days Payable,,65,30,78
Cash Conversion Cycle,,83,173,108
Working Capital Days,,54,98,25
ROCE %,,,20%,13%
