Metric,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,114,79,85,134,115,117,102,109,96,97,128,123
Inventory Days,145,69,130,176,85,123,148,129,153,268,415,360
Days Payable,341,268,340,644,391,443,455,437,324,364,632,411
Cash Conversion Cycle,-81,-120,-125,-334,-191,-203,-205,-198,-75,0,-90,72
Working Capital Days,-131,-94,-116,-109,-89,-119,22,-36,9,-12,0,-54
ROCE %,5%,15%,17%,26%,25%,20%,14%,18%,22%,23%,14%,7%
