Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,1,1,260,84,94,0,76,-0,2,0
Inventory Days,21,25,16,3,13,216,29,0,1,3
Days Payable,0,10,269,17,24,74,0,0,2,0
Cash Conversion Cycle,21,16,7,70,83,143,104,0,2,3
Working Capital Days,1,41,23,14,7,709,41,10,9,10
ROCE %,,26%,7%,12%,8%,4%,2%,8%,16%,16%
