Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,115,84,102,99,117
Inventory Days,,272,188,230,190,280
Days Payable,,123,106,135,90,146
Cash Conversion Cycle,,264,166,197,200,251
Working Capital Days,,111,94,110,105,90
ROCE %,,19%,16%,17%,17%,11%
