Metric,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Debtor Days,47,62,57,70
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,47,62,57,70
Working Capital Days,28,33,113,121
ROCE %,,99%,68%,54%
