Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,1217.99,737.10,2409.00,20485.62,13533.08,4764.47,,,8924.25,145.54,298.84,332.19
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,1217.99,737.10,2409.00,20485.62,13533.08,4764.47,,,8924.25,145.54,298.84,332.19
Working Capital Days,-52.90,69.37,159.52,980.94,1445.96,3630.53,,,6314.50,1626.33,810.98,2169.49
ROCE %,2.50%,4.02%,-2.75%,-5.99%,-3.08%,-0.94%,-4.05%,-3.70%,1.49%,-1.28%,-0.95%,-1.80%
