Metric,Mar 2025,Mar 2026
Debtor Days,362.02,302.29
Inventory Days,54.11,57.13
Days Payable,150.47,138.57
Cash Conversion Cycle,265.66,220.85
Working Capital Days,208.60,256.28
ROCE %,,2.40%
