Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,57,41,61,81,77,100,74,78,93,86,79,90
Inventory Days,0,0,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,57,41,61,81,77,100,74,78,93,86,79,90
Working Capital Days,-50,-74,181,212,201,221,195,115,109,64,63,-10
ROCE %,2%,-6%,-2%,1%,1%,1%,0%,2%,3%,-1%,-2%,-2%
