Metric,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Mar 2020,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Debtor Days,63,67,74,71,60,60,54,56,62,54,54,77
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,63,67,74,71,60,60,54,56,62,54,54,77
Working Capital Days,22,32,26,55,38,54,40,41,45,1,27,21
ROCE %,30%,27%,13%,21%,22%,22%,26%,38%,32%,26%,21%,19%
