Metric,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,58.37,10.76,81.57,184.31,3748.81,3330.17,2518.86,,0.00,55.70,,
Inventory Days,,,,,,,,,1925.08,,,
Days Payable,,,,,,,,,653.47,,,
Cash Conversion Cycle,58.37,10.76,81.57,184.31,3748.81,3330.17,2518.86,,1271.61,55.70,,
Working Capital Days,211.27,290.03,330.35,562.73,-56.46,-890.82,-1765.37,,-2986.51,-2726.51,,
ROCE %,8.05%,8.10%,7.24%,3.48%,1.24%,-0.64%,0.50%,,11.51%,1.35%,-0.82%,-1.74%
