Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018
Debtor Days,63,81,63,47,54,51
Inventory Days,92,142,122,133,110,93
Days Payable,66,108,86,95,95,89
Cash Conversion Cycle,89,114,100,85,69,55
Working Capital Days,44,68,42,31,56,41
ROCE %,,32%,51%,47%,40%,32%
