Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Debtor Days,111.11,68.32,78.25,136.33,137.17,158.51
Inventory Days,41.53,24.37,40.49,168.30,121.04,151.67
Days Payable,98.35,35.99,18.23,24.02,36.45,37.61
Cash Conversion Cycle,54.30,56.71,100.51,280.61,221.76,272.57
Working Capital Days,70.10,62.93,99.16,222.76,221.11,262.77
ROCE %,,31.01%,16.89%,8.44%,10.78%,8.03%
