Metric,Mar 2024,Mar 2025,Mar 2026
Debtor Days,151,161,131
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,151,161,131
Working Capital Days,114,113,78
ROCE %,,9%,6%
