Metric,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Debtor Days,3147,3603,3904,4940,4353,5030,5923,6099,6051,2363,22,91
Inventory Days,15,53,47,96,173,77,124,,389,21,,
Days Payable,1528,2792,1753,5428,8185,4936,3179,,19744,23400,,
Cash Conversion Cycle,1635,864,2198,-391,-3659,171,2867,6099,-13304,-21016,22,91
Working Capital Days,-299,-613,-634,-977,-1147,-1396,-1438,-1826,-1908,2188,-7,2
ROCE %,-8%,-4%,8%,0%,1%,-2%,1%,0%,0%,-0%,,16%
