Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,5.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inventory Days,348.85,2000.20,,,,,,,,
Days Payable,4.31,0.00,,,,,,,,
Cash Conversion Cycle,349.97,2000.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Working Capital Days,213.58,1732.46,1075.45,1141.29,1107.98,1058.79,1982.73,1861.85,2104.42,2218.79
ROCE %,,11.68%,8.51%,7.26%,7.98%,8.36%,9.51%,11.04%,10.61%,10.96%
