Metric,Jul 2007,Jul 2008,Jul 2009,Jul 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2024,Mar 2025,Mar 2026
Debtor Days,138.94,166.61,6340.98,846.14,,,,,0.00,0.00
Inventory Days,,0.00,,,,,,,4974.46,
Days Payable,,,,,,,,,1404.12,
Cash Conversion Cycle,138.94,166.61,6340.98,846.14,,,,,3570.34,0.00
Working Capital Days,216.82,196.79,9411.27,12526.14,,,,,2459.07,58029.30
ROCE %,,8.59%,0.61%,-9.56%,-1.75%,-0.30%,0.50%,,0.95%,0.09%
