Metric,Sep 2014,Sep 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,1,2,1,10,2,2,0,0,1,1,1,3
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,1,2,1,10,2,2,0,0,1,1,1,3
Working Capital Days,60,90,143,91,37,-33,-54,-67,-42,-54,-33,-12
ROCE %,6%,17%,9%,11%,16%,18%,15%,11%,16%,26%,28%,30%
