Metric,Mar 2024,Mar 2025,Mar 2026
Debtor Days,47,37,20
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,47,37,20
Working Capital Days,191,-244,11
ROCE %,,31%,21%
