Metric,Mar 2012,Mar 2013,Mar 2014
Debtor Days,133.66,177.60,113.60
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,133.66,177.60,113.60
Working Capital Days,181.99,86.07,109.39
ROCE %,,19.91%,19.13%
