Metric,Sep 2005,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,71,79,80,97,82
Inventory Days,112,293,299,314,295
Days Payable,180,281,247,248,184
Cash Conversion Cycle,3,91,132,163,193
Working Capital Days,35,-35,25,60,97
ROCE %,,,4%,0%,4%
