Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,43,37,51,43
Inventory Days,42,31,31,35
Days Payable,100,86,101,108
Cash Conversion Cycle,-16,-18,-18,-30
Working Capital Days,-9,-7,-8,-4
ROCE %,,52%,57%,61%
