Metric,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,46,40,38,39,42,50,68,45,45,30,37,39
Inventory Days,41,47,37,40,48,67,36,27,34,34,36,40
Days Payable,72,71,84,85,90,129,121,84,87,84,94,109
Cash Conversion Cycle,15,16,-9,-6,1,-13,-17,-13,-8,-21,-22,-30
Working Capital Days,-39,-25,-15,-1,2,-4,-11,-9,48,-19,-16,78
ROCE %,13%,,24%,30%,28%,17%,25%,38%,40%,41%,38%,36%
