Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,203,55,52,51,210
Inventory Days,160,34,51,57,7
Days Payable,455,46,69,51,265
Cash Conversion Cycle,-91,43,34,56,-48
Working Capital Days,119,41,38,46,29
ROCE %,,18%,14%,10%,17%
