Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,18.78,6.78,13.97,5.16,4.31,1.60
Inventory Days,253.68,359.90,256.55,489.62,120.14,95.94
Days Payable,267.17,230.57,156.78,162.57,101.85,76.13
Cash Conversion Cycle,5.29,136.10,113.74,332.20,22.60,21.42
Working Capital Days,-98.39,-17.30,-3.27,38.88,19.25,-1.60
ROCE %,,804.55%,84.93%,-13.26%,-43.93%,-32.63%
