Metric,Dec 2011,Dec 2012,Dec 2024,Dec 2025
Debtor Days,152,157,89,88
Inventory Days,69,68,96,98
Days Payable,146,141,173,165
Cash Conversion Cycle,75,84,13,21
Working Capital Days,39,43,-1,5
ROCE %,,10%,,30%
