Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,8,11,17,14,18,14,8,8,11,13,16,17
Inventory Days,379,394,339,323,333,208,193,337,234,238,238,246
Days Payable,265,299,324,370,339,231,259,359,198,196,167,227
Cash Conversion Cycle,123,107,32,-33,13,-9,-58,-14,46,56,86,37
Working Capital Days,-61,-65,-67,-62,-34,-56,-80,-74,45,8,-25,-3
ROCE %,18%,11%,11%,12%,12%,14%,14%,17%,12%,13%,11%,6%
