Metric,Mar 2021,Mar 2022,Mar 2023
Debtor Days,0,9,6
Inventory Days,649,46,47
Days Payable,1379,47,27
Cash Conversion Cycle,-730,8,27
Working Capital Days,-548,-4,14
ROCE %,,41%,57%
