Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,85,50,46,56,59,72,32,49,49,37,42,36
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,85,50,46,56,59,72,32,49,49,37,42,36
Working Capital Days,-69,-314,-83,-97,-78,-141,-268,-195,31,45,-207,-224
ROCE %,2%,2%,8%,8%,7%,3%,6%,11%,16%,-2%,8%,12%
