Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Debtor Days,52,51,45,50,63,64,47,70,75,65,60,56
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,52,51,45,50,63,64,47,70,75,65,60,56
Working Capital Days,16,19,26,36,35,18,2,9,8,0,-9,-16
ROCE %,34%,37%,35%,34%,33%,30%,27%,26%,26%,27%,30%,30%
