Metric,Mar 2024,Mar 2025,Mar 2026
Debtor Days,24,21,16
Inventory Days,99,112,151
Days Payable,33,23,26
Cash Conversion Cycle,90,110,141
Working Capital Days,84,95,185
ROCE %,,22%,9%
