Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,15,12,17,13,24,18,7
Inventory Days,,65,64,137,150,107,121,55
Days Payable,,16,15,12,11,7,12,11
Cash Conversion Cycle,,64,61,142,152,123,127,51
Working Capital Days,,59,56,1235,1688,2216,109,5350
ROCE %,,8%,3%,54%,-7%,-20%,10%,-9%
