Metric,Mar 2007,Mar 2008,Jun 2009,Mar 2010,Mar 2011,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38,4,8,11,2,47,66,72,66
Inventory Days,8699,1219,323,1501,6490,59,51,56,65
Days Payable,5597,329,59,203,87,18,36,34,46
Cash Conversion Cycle,3140,894,272,1309,6405,87,81,94,85
Working Capital Days,-1397,832,2609,6154,4795,109,96,108,93
ROCE %,,-19%,-7%,,-3%,,16%,11%,8%
