Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,153,27,34,27,36
Inventory Days,,,24,65,50
Days Payable,,,302,224,290
Cash Conversion Cycle,153,27,-244,-132,-203
Working Capital Days,-37,-98,-60,31,5
ROCE %,,15%,18%,19%,12%
