Metric,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,85,87,53,77,73,91,113,142
Inventory Days,,,67,199,391,864,577,271
Days Payable,,,72,124,167,521,404,133
Cash Conversion Cycle,85,87,48,152,297,434,286,281
Working Capital Days,60,150,33,52,47,43,64,103
ROCE %,,0%,,41%,34%,16%,13%,5%
