Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,88,104,153,166,132
Inventory Days,533,656,897,531,454
Days Payable,34,66,268,86,31
Cash Conversion Cycle,587,694,781,612,556
Working Capital Days,306,496,476,397,398
ROCE %,,6%,6%,8%,10%
