Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,73,63,67
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,,73,63,67
Working Capital Days,,33,-36,-84
ROCE %,,,26%,10%
