Metric,Mar 2024,Mar 2025,Mar 2026
Debtor Days,15,101,116
Inventory Days,122,158,199
Days Payable,118,216,187
Cash Conversion Cycle,19,43,128
Working Capital Days,-1,43,179
ROCE %,,116%,37%
