Metric,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,13,18,13,14,12,15,10,10,8,11,8,0
Inventory Days,108,165,238,176,417,333,246,214,208,300,266,0
Days Payable,225,268,217,204,355,231,201,57,61,52,44,
Cash Conversion Cycle,-104,-85,34,-14,74,117,55,167,155,259,231,0
Working Capital Days,-211,-142,-18,-30,9,14,14,34,26,46,69,0
ROCE %,-34%,73%,44%,6%,17%,2%,7%,10%,6%,7%,10%,17%
