Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,44.96,77.66,35.10,44.57,33.61,53.29,67.83,20.77,38.79,19.49,51.14,49.59
Inventory Days,,,,,,,,,,,,15.42
Days Payable,,,,,,,,,,,,33.10
Cash Conversion Cycle,44.96,77.66,35.10,44.57,33.61,53.29,67.83,20.77,38.79,19.49,51.14,31.90
Working Capital Days,12.25,-97.24,-261.58,-115.11,5.33,12.42,86.70,-8.43,-55.41,-34.31,-204.88,-27.37
ROCE %,-8.28%,-9.00%,-11.57%,-16.14%,-45.71%,-4.86%,1.13%,1.08%,0.96%,3.13%,2.33%,2.40%
