Metric,Dec 2012,Dec 2013,Dec 2014,Dec 2015
Debtor Days,64,70,73,75
Inventory Days,52,45,41,42
Days Payable,75,72,73,77
Cash Conversion Cycle,41,43,42,40
Working Capital Days,29,40,38,19
ROCE %,,18%,16%,18%
