Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,159,69,97,154,75,42,18,18,6,11,4,2
Inventory Days,,3145,5074,,,,1549,,,,,3346
Days Payable,,196,623,,,,161,,,,,70
Cash Conversion Cycle,159,3018,4548,154,75,42,1407,18,6,11,4,3278
Working Capital Days,274,21,130,300,179,277,144,243,340,877,748,534
ROCE %,13%,27%,28%,28%,33%,27%,31%,24%,18%,12%,7%,8%
