Metric,Mar 2023,Mar 2024,Mar 2025
Debtor Days,129.96,196.87,193.02
Inventory Days,107.32,109.93,115.41
Days Payable,75.24,76.07,97.49
Cash Conversion Cycle,162.04,230.73,210.95
Working Capital Days,38.33,135.53,95.31
ROCE %,,13.13%,11.56%
