Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Debtor Days,82,80,72,98,97,84,81,68,81,80,94,118
Inventory Days,193,171,200,193,196,170,212,195,207,184,165,197
Days Payable,147,145,142,139,141,127,155,129,116,98,95,111
Cash Conversion Cycle,127,106,130,153,152,127,138,134,172,165,163,204
Working Capital Days,45,40,57,83,71,37,26,54,76,77,83,104
ROCE %,17%,17%,17%,16%,15%,16%,18%,21%,23%,23%,24%,25%
