Metric,Dec 2005,Dec 2006,Dec 2007
Debtor Days,8,12,10
Inventory Days,71,56,67
Days Payable,66,78,70
Cash Conversion Cycle,13,-10,8
Working Capital Days,-80,-9,6
ROCE %,,108%,91%
