Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,586,73,67,91,63,73,64,88,104
Inventory Days,,,,,,,,,56
Days Payable,,,,,,,,,65
Cash Conversion Cycle,586,73,67,91,63,73,64,88,96
Working Capital Days,1783,129,94,105,113,102,111,130,114
ROCE %,,16%,7%,9%,7%,10%,8%,7%,10%
