Metric,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,197,99,54,57,69,48,52,55,49,44
Inventory Days,,,,0,,,,,,
Days Payable,,,,417,,,,,,
Cash Conversion Cycle,197,99,54,-359,69,48,52,55,49,44
Working Capital Days,148,108,-25,35,35,-19,-10,-24,1,438
ROCE %,,-5%,,2%,3%,-6%,3%,4%,8%,12%
