Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,154,90,36,52
Inventory Days,313,210,270,47
Days Payable,248,86,30,19
Cash Conversion Cycle,219,214,276,80
Working Capital Days,122,138,137,53
ROCE %,,17%,24%,30%
