Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,,37.46,17.70,6.43
Inventory Days,,296.56,83.33,78.88
Days Payable,,1102.60,70.00,254.03
Cash Conversion Cycle,,-768.58,31.04,-168.72
Working Capital Days,,5.94,21.58,55.74
ROCE %,,,46.45%,20.28%
