Metric,Mar 2025,Mar 2026
Debtor Days,111.36,233.78
Inventory Days,57.16,24.50
Days Payable,110.95,89.86
Cash Conversion Cycle,57.56,168.42
Working Capital Days,61.86,156.21
ROCE %,,36.23%
