Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,31,40,37,37,41,27,21
Inventory Days,130,146,200,137,250,195,198
Days Payable,123,132,176,105,195,140,146
Cash Conversion Cycle,39,55,61,68,95,82,74
Working Capital Days,-68,1,3,2,-14,21,16
ROCE %,,12%,9%,9%,7%,6%,7%
